Released,Title,"Domestic
Box Office","International
Box Office","Worldwide
Box Office"
1,"Dec 17, 2021",Spider-Man: No Way Home,"$804,617,772","$1,083,808,579","$1,888,426,351"
2,"Sep 3, 2021",Shang-Chi and the Legend of the Ten R…,"$224,543,292","$207,700,000","$432,243,292"
3,"Oct 1, 2021",Venom: Let There be Carnage,"$213,550,366","$288,050,013","$501,600,379"
4,"Jul 9, 2021",Black Widow,"$183,651,655","$196,100,000","$379,751,655"
5,"Jun 25, 2021",F9: The Fast Saga,"$173,005,945","$548,072,000","$721,077,945"
6,"Nov 5, 2021",Eternals,"$164,870,264","$237,194,665","$402,064,929"
7,"Dec 22, 2021",Sing 2,"$162,790,990","$234,806,442","$397,597,432"
8,"Oct 8, 2021",No Time to Die,"$160,891,007","$600,511,039","$761,402,046"
9,"May 28, 2021",A Quiet Place: Part II,"$160,215,764","$136,451,825","$296,667,589"
10,"Nov 19, 2021",Ghostbusters: Afterlife,"$129,360,575","$75,261,116","$204,621,691"
11,"Aug 13, 2021",Free Guy,"$121,626,598","$201,972,771","$323,599,369"
12,"Jul 30, 2021",Jungle Cruise,"$116,987,516","$93,396,628","$210,384,144"
13,"Oct 22, 2021",Dune,"$108,327,830","$291,026,426","$399,354,256"
14,"Mar 31, 2021",Godzilla vs. Kong,"$100,916,094","$367,148,534","$468,064,628"
15,"Nov 24, 2021",Encanto,"$96,093,622","$134,498,589","$230,592,211"
16,"Oct 15, 2021",Halloween Kills,"$92,002,155","$38,852,060","$130,854,215"
17,"May 28, 2021",Cruella,"$86,103,234","$140,789,236","$226,892,470"
18,"Jul 16, 2021",Space Jam: A New Legacy,"$70,592,228","$73,411,521","$144,003,749"
19,"Jun 4, 2021",The Conjuring: The Devil Made Me Do It,"$65,631,050","$134,640,795","$200,271,845"
20,"Aug 27, 2021",Candyman,"$61,186,570","$16,209,219","$77,395,789"
21,"Jul 2, 2021",The Boss Baby: Family Business,"$57,300,280","$89,331,705","$146,631,985"
22,"Oct 1, 2021",The Addams Family 2,"$56,489,153","$63,301,483","$119,790,636"
23,"Aug 5, 2021",The Suicide Squad,"$55,817,425","$111,302,807","$167,120,232"
24,"Mar 5, 2021",Raya and the Last Dragon,"$54,723,032","$61,959,873","$116,682,905"
25,"Nov 24, 2021",House of Gucci,"$53,809,574","$95,311,105","$149,120,679"
26,"Nov 10, 2021",Clifford the Big Red Dog,"$48,947,356","$29,525,691","$78,473,047"
